age,duration_(secs)
55,3326.063870967742
36,3289.419434194342
51,3286.9590163934427
53,3280.8044554455446
62,3275.3470515970516
42,3275.034650455927
25,3272.681168427595
49,3272.62125
59,3272.6041275797375
58,3271.0130353817503
26,3268.9453652547577
50,3268.5317559153177
64,3268.3555946104275
29,3266.1804604853764
24,3264.364705882353
18,3264.2148867313917
43,3263.9859813084113
48,3261.655172413793
27,3259.8470800722457
67,3259.783700980392
57,3258.7163904235726
23,3258.39673571877
39,3256.787860576923
33,3255.314003701419
68,3254.5966748768474
45,3253.978873239437
37,3253.620553359684
22,3252.49055523755
32,3251.797507788162
19,3251.2770719903206
21,3250.381740196078
60,3249.850348763475
34,3249.028696194635
56,3247.527117611213
46,3246.771551724138
40,3246.2808988764045
47,3245.1441102756894
63,3244.7686472819214
20,3244.3061224489797
--,3243.864410228583
54,3242.1308232291003
66,3240.6185115697313
38,3239.503022974607
52,3234.1909638554216
31,3232.048719550281
65,3228.3666237113403
28,3226.089642640824
61,3223.756869772999
69,3214.831885856079
30,3209.773851590106
35,3205.199613650998
44,3203.942875078468
41,3198.4756690997565
